name,year_start,year_end,position,height,weight,birth_date,college
Shannon Brown,2007,2015,G,06-Apr,205,"November 29, 1985",Michigan State University
Shaquille O'Neal,1993,2011,C,07-Jan,325,"March 6, 1972",Louisiana State University
Shareef Abdur-Rahim,1997,2008,F,06-Sep,225,"December 11, 1976",University of California
Sharone Wright,1995,1998,F-C,06-Nov,260,"January 30, 1973",Clemson University
Sharrod Ford,2006,2006,F,06-Sep,225,"January 9, 1982",Clemson University
Shaun Livingston,2005,2018,G,06-Jul,192,"September 11, 1985",
Shavlik Randolph,2006,2015,F,06-Oct,240,"November 24, 1983",Duke University
Shawn Bradley,1994,2005,C,07-Jun,235,"March 22, 1972",Brigham Young University
Shawn Kemp,1990,2003,F-C,06-Oct,230,"November 26, 1969",Trinity Valley Community College
Shawn Long,2017,2017,C-F,06-Sep,255,"January 29, 1993",University of Louisiana at Lafayette
Shawn Marion,2000,2015,F,06-Jul,220,"May 7, 1978","University of Nevada, Las Vegas"
Shawn Respert,1996,1999,G,06-Jan,195,"February 6, 1972",Michigan State University
Shawne Williams,2007,2015,F,06-Sep,225,"February 16, 1986",University of Memphis
Shawnelle Scott,1997,2002,C,06-Oct,250,"June 16, 1972",St. John's University
Shayne Whittington,2015,2016,F-C,06-Nov,250,"March 27, 1991",Western Michigan University
Shea Seals,1998,1998,G,06-May,210,"August 26, 1975",University of Tulsa
Shelden Williams,2007,2012,F,06-Sep,250,"October 21, 1983",Duke University
Sheldon Mac,2017,2017,G,06-May,200,"December 21, 1992",University of Miami
Shellie McMillon,1959,1962,F,06-May,205,"March 11, 1936",Bradley University
Shelton Jones,1989,1989,F,06-Sep,210,"April 6, 1966",St. John's University
Shelvin Mack,2012,2018,G,06-Mar,203,"April 22, 1990",Butler University
Sherell Ford,1996,1996,F,06-Jul,210,"August 26, 1972",University of Illinois at Chicago
Sherman Douglas,1990,2001,G,6-0,180,"September 15, 1966",Syracuse University
Sherron Collins,2011,2011,G,05-Nov,205,"March 18, 1987",University of Kansas
Sherwin Raiken,1953,1953,G,06-Feb,185,"October 29, 1928",Villanova University
Si Green,1957,1966,G-F,06-Feb,185,"August 20, 1933",Duquesne University
Sid Catlett,1972,1972,F,06-Jun,230,"April 18, 1948",University of Notre Dame
Sid Tanenbaum,1948,1949,G,6-0,160,"October 8, 1925",New York University
Sidney Green,1984,1993,F-C,06-Sep,220,"January 4, 1961","University of Nevada, Las Vegas"
Sidney Lowe,1984,1990,G,6-0,195,"January 21, 1960",North Carolina State University
Sidney Moncrief,1980,1991,G,06-Mar,180,"September 21, 1957",University of Arkansas
Sidney Wicks,1972,1981,F-C,06-Aug,225,"September 19, 1949","University of California, Los Angeles"
Sim Bhullar,2015,2015,C,07-May,360,"December 2, 1992",New Mexico State University
Simmie Hill,1970,1974,F,06-Jul,233,"November 14, 1946",West Texas A&M University
Sindarius Thornwell,2018,2018,G,06-May,212,"November 15, 1994",University of South Carolina
Skal Labissiere,2017,2018,F,06-Nov,225,"March 18, 1996",University of Kentucky
Skeeter Henry,1994,1994,G,06-Jul,190,"December 8, 1967",University of Oklahoma
Skeeter Swift,1970,1974,G,06-Mar,204,"June 19, 1946",East Tennessee State University
Skip Harlicka,1969,1969,G,06-Jan,185,"October 14, 1946",University of South Carolina
Skip Thoren,1968,1970,C,06-Oct,230,"April 5, 1943",University of Illinois at Urbana-Champaign
Skip Wise,1976,1976,G,06-Feb,170,"July 25, 1955",Clemson University
Skippy Whitaker,1955,1955,G,06-Jan,180,"August 29, 1930",University of Kentucky
Slater Martin,1950,1960,G,05-Oct,170,"October 22, 1925",University of Texas at Austin
Slavko Vranes,2004,2004,C,07-May,275,"January 30, 1983",
Sleepy Floyd,1983,1995,G,06-Mar,170,"March 6, 1960",Georgetown University
Slick Leonard,1957,1963,G,06-Mar,185,"July 17, 1932",Indiana University
Slick Watts,1974,1979,G,06-Jan,175,"July 22, 1951",Xavier University of Louisiana
Sly Williams,1980,1986,F-G,06-Jul,210,"January 26, 1958",University of Rhode Island
Smush Parker,2003,2008,G,06-Apr,190,"June 1, 1981",Fordham University
Solomon Alabi,2011,2012,C,07-Jan,251,"March 21, 1988",Florida State University
Solomon Hill,2014,2017,F,06-Jul,225,"March 18, 1991",University of Arizona
Solomon Jones,2007,2014,F,06-Oct,230,"July 16, 1984",University of South Florida
Sonny Dove,1968,1972,F,06-Jul,198,"August 16, 1945",St. John's University
Sonny Hertzberg,1947,1951,G,05-Oct,175,"July 29, 1922",City College of New York
Sonny Parker,1977,1982,F-G,06-Jun,200,"March 22, 1955",Texas A&M University
Sonny Weems,2009,2016,G-F,06-Jun,205,"July 8, 1986",University of Arkansas
Soumaila Samake,2001,2003,C,7-0,230,"March 18, 1978",
Speedy Claxton,2002,2009,G,05-Nov,166,"May 8, 1978",Hofstra University
Spencer Dinwiddie,2015,2018,G,06-Jun,200,"April 6, 1993",University of Colorado
Spencer Hawes,2008,2017,C-F,07-Jan,245,"April 28, 1988",University of Washington
Spencer Haywood,1970,1983,F-C,06-Aug,225,"April 22, 1949",University of Detroit Mercy
Spider Bennett,1969,1969,G,06-Mar,190,"August 4, 1943",Winston-Salem State University
Spud Webb,1986,1998,G,05-Jun,133,"July 13, 1963",North Carolina State University
Stacey Arceneaux,1962,1962,F,06-Apr,210,"February 17, 1936",Iowa State University
Stacey Augmon,1992,2006,F-G,06-Aug,205,"August 1, 1968","University of Nevada, Las Vegas"
Stacey King,1990,1997,F-C,06-Nov,230,"January 29, 1967",University of Oklahoma
Stan Brown,1948,1952,F,06-Mar,200,"June 27, 1929",
Stan Kimbrough,1990,1993,G,05-Nov,153,"April 24, 1966",Xavier University
Stan Love,1972,1975,F,06-Sep,215,"April 9, 1949",University of Oregon
Stan McKenzie,1968,1974,F-G,06-May,195,"October 6, 1944",New York University
Stan Miasek,1947,1953,C-F,06-May,210,"September 19, 1923",
Stan Noszka,1947,1949,G,06-Jan,185,"September 9, 1920",Duquesne University
Stan Patrick,1950,1950,F-G,06-Feb,185,"May 5, 1922",University of Illinois at Urbana-Champaign
Stan Pietkiewicz,1979,1981,G-F,06-May,200,"July 14, 1956",Auburn University
Stan Stutz,1947,1949,G-F,05-Oct,170,"April 14, 1920",University of Rhode Island
Stan Washington,1975,1975,G,06-Apr,190,"January 23, 1952",University of San Diego
Stanislav Medvedenko,2001,2007,F,06-Oct,250,"April 4, 1979",
Stanley Brundy,1990,1990,F,06-Jun,210,"November 13, 1967",DePaul University
Stanley Jackson,1994,1994,G,06-Mar,185,"October 10, 1970",University of Alabama at Birmingham
Stanley Johnson,2016,2018,F,06-Jul,245,"May 29, 1996",University of Arizona
Stanley Roberts,1992,2000,C,7-0,285,"February 7, 1970",Louisiana State University
Stefano Rusconi,1996,1996,C-F,06-Sep,240,"October 2, 1968",
Steffond Johnson,1987,1987,F,06-Aug,240,"November 4, 1962",San Diego State University
Stephane Lasme,2008,2008,F,06-Aug,215,"December 17, 1982",University of Massachusetts Amherst
Stephen Chubin,1968,1970,G,06-Feb,200,"February 8, 1944",University of Rhode Island
Stephen Curry,2010,2018,G,06-Mar,190,"March 14, 1988",Davidson College
Stephen Graham,2006,2011,G,06-Jun,215,"June 11, 1982",Oklahoma State University
Stephen Howard,1993,1998,F,06-Sep,225,"July 15, 1970",DePaul University
Stephen Jackson,2001,2014,F-G,06-Aug,218,"April 5, 1978",Butler County Community College
Stephen Previs,1973,1973,G,06-Mar,183,"February 9, 1950",University of North Carolina
Stephen Thompson,1992,1992,G,06-Apr,185,"December 2, 1968",Syracuse University
Stephen Vacendak,1968,1970,G,06-Jan,185,"August 15, 1944",Duke University
Stephen Wilson,1971,1972,G,06-May,185,"October 16, 1948",Hanover College
Stephen Zimmerman,2017,2017,C,7-0,240,"September 9, 1996","University of Nevada, Las Vegas"
Stephon Marbury,1997,2009,G,06-Feb,180,"February 20, 1977",Georgia Institute of Technology
Sterling Brown,2018,2018,G,06-May,225,"February 10, 1995",Southern Methodist University
Steve Alford,1988,1991,G,06-Feb,183,"November 23, 1964",Indiana University
Steve Bardo,1992,1996,G,06-May,190,"April 5, 1968",University of Illinois at Urbana-Champaign
Steve Blake,2004,2016,G,06-Mar,172,"February 26, 1980",University of Maryland
Steve Bracey,1973,1975,G,06-Jan,175,"August 1, 1950",University of Tulsa
Steve Bucknall,1990,1990,G,06-Jun,215,"March 17, 1966",University of North Carolina
Steve Burtt,1985,1993,G,06-Feb,185,"November 5, 1962",Iona College
Steve Colter,1985,1995,G,06-Mar,165,"July 24, 1962",New Mexico State University
Steve Courtin,1965,1965,G,06-Jan,188,"September 21, 1942",Saint Joseph's University
Steve Downing,1974,1975,C,06-Aug,225,"September 9, 1950",Indiana University
Steve Francis,2000,2008,G,06-Mar,195,"February 21, 1977",University of Maryland
Steve Goodrich,2001,2002,F,06-Oct,220,"March 18, 1976",Princeton University
Steve Green,1976,1979,F,06-Jul,220,"October 4, 1953",Indiana University
Steve Hamer,1997,1997,C,7-0,245,"November 13, 1973",University of Tennessee
Steve Hamilton,1959,1960,F-C,06-Jun,190,"November 30, 1935",Morehead State University
Steve Harris,1986,1990,G,06-May,195,"October 15, 1963",University of Tulsa
Steve Hawes,1975,1984,C-F,06-Sep,220,"May 26, 1950",University of Washington
Steve Hayes,1982,1986,C,7-0,205,"August 2, 1955",Idaho State University
Steve Henson,1991,1999,G,05-Nov,177,"February 2, 1968",Kansas State University
Steve Johnson,1982,1991,C-F,06-Oct,235,"November 3, 1957",Oregon State University
Steve Jones,1968,1976,G-F,06-May,205,"October 17, 1942",University of Oregon
Steve Kerr,1989,2003,G,06-Mar,175,"September 27, 1965",University of Arizona
Steve Kuberski,1970,1978,F-C,06-Aug,215,"November 6, 1947",Bradley University
Steve Lingenfelter,1983,1984,F,06-Sep,225,"June 10, 1958",South Dakota State University
Steve Malovic,1980,1980,F,06-Oct,230,"July 21, 1956",San Diego State University
Steve Mix,1970,1983,F,06-Jul,215,"December 30, 1947",University of Toledo
Steve Nash,1997,2014,G,06-Mar,195,"February 7, 1974",Santa Clara University
Steve Novak,2007,2017,F,06-Oct,225,"June 13, 1983",Marquette University
Steve Patterson,1972,1976,C,06-Sep,225,"June 24, 1948","University of California, Los Angeles"
Steve Scheffler,1991,1997,C-F,06-Sep,250,"September 3, 1967",Purdue University
Steve Sheppard,1978,1979,F,06-Jun,215,"March 21, 1954",University of Maryland
Steve Smith,1992,2005,G,06-Jul,200,"March 31, 1969",Michigan State University
Steve Stipanovich,1984,1988,C,06-Nov,245,"November 17, 1960",University of Missouri
Steven Adams,2014,2018,C,7-0,255,"July 20, 1993",University of Pittsburgh
Steven Hill,2009,2009,C,7-0,248,"November 14, 1985",University of Arkansas
Steven Hunter,2002,2010,C,7-0,220,"October 31, 1981",DePaul University
Steven Kramer,1968,1970,G-F,06-May,200,"January 1, 1945",Brigham Young University
Steven Smith,2007,2007,F,06-Aug,235,"April 12, 1983",La Salle University
Stevin Smith,1997,1997,G,06-Feb,208,"January 24, 1972",Arizona State University
Stew Johnson,1968,1976,F-C,06-Aug,220,"August 19, 1944",Murray State University
Stewart Granger,1984,1987,G,06-Mar,190,"October 27, 1961",Villanova University
Stojko Vrankovic,1991,1999,C,07-Feb,260,"January 22, 1964",
Stromile Swift,2001,2009,F,06-Sep,225,"November 21, 1979",Louisiana State University
Stu Lantz,1969,1976,G,06-Mar,175,"July 13, 1946",University of Nebraska
Stuart Gray,1985,1991,C-F,7-0,235,"May 27, 1963","University of California, Los Angeles"
Sun Yue,2009,2009,G,06-Sep,205,"November 6, 1985",
Sundiata Gaines,2010,2012,G,06-Jan,185,"April 18, 1986",University of Georgia
Swede Halbrook,1961,1962,C,07-Mar,235,"January 30, 1933",Oregon State University
Swen Nater,1974,1984,C,06-Nov,240,"January 14, 1950","University of California, Los Angeles"
Sylvester Gray,1989,1989,F,06-Jun,230,"July 8, 1967",University of Memphis
Sylvester Norris,1980,1980,C,06-Nov,220,"February 18, 1957",Jackson State University
T.J. Ford,2004,2012,G,6-0,165,"March 24, 1983",University of Texas at Austin
T.J. Leaf,2018,2018,F,06-Oct,222,"April 30, 1997","University of California, Los Angeles"
T.J. McConnell,2016,2018,G,06-Feb,200,"March 25, 1992",University of Arizona
T.J. Warren,2015,2018,F,06-Aug,230,"September 5, 1993",North Carolina State University
T.R. Dunn,1978,1991,G-F,06-Apr,192,"February 1, 1955",University of Alabama
Taj Gibson,2010,2018,F,06-Sep,225,"June 24, 1985",University of Southern California
Tal Skinner,1975,1976,F-G,06-May,195,"September 10, 1952",University of Maryland Eastern Shore
Tamar Slay,2003,2005,G,06-Aug,215,"April 2, 1980",Marshall University
Tang Hamilton,2002,2002,F,06-Aug,220,"May 26, 1978",Mississippi State University
Tarence Kinsey,2007,2009,G,06-Jun,185,"March 21, 1984",University of South Carolina
Tarik Black,2015,2018,C-F,06-Sep,250,"November 22, 1991",University of Kansas
Tariq Abdul-Wahad,1998,2003,F,06-Jun,223,"November 3, 1974",San Jose State University
Tate Armstrong,1978,1979,G,06-Mar,175,"October 5, 1955",Duke University
Tate George,1991,1995,G,06-May,190,"May 29, 1968",University of Connecticut
Taurean Green,2008,2008,G,6-0,177,"November 28, 1986",University of Florida
Taurean Waller-Prince,2017,2018,F,06-Aug,220,"March 22, 1994",Baylor University
Taylor Griffin,2010,2010,F,06-Jul,238,"April 18, 1986",University of Oklahoma
Tayshaun Prince,2003,2016,F,06-Sep,212,"February 28, 1980",University of Kentucky
Ted Luckenbill,1962,1963,F,06-Jun,205,"July 27, 1939",University of Houston
Ted Manakas,1974,1974,G,06-Feb,180,"February 22, 1951",Princeton University
Ted McClain,1972,1979,G,06-Jan,180,"August 30, 1946",Tennessee State University
Tellis Frank,1988,1994,F-C,06-Oct,225,"April 26, 1965",Western Kentucky University
Terence Morris,2002,2006,F,06-Sep,221,"January 11, 1979",University of Maryland
Terence Stansbury,1985,1987,G,06-May,170,"February 27, 1961",Temple University
Terrance Ferguson,2018,2018,G-F,06-Jul,184,"May 17, 1998",
Terrance Roberson,2001,2001,F,06-Jul,215,"December 30, 1976","California State University, Fresno"
Terrel Harris,2012,2013,G,06-May,190,"August 10, 1987",Oklahoma State University
Terrell Brandon,1992,2002,G,05-Nov,180,"May 20, 1970",University of Oregon
Terrence Jones,2013,2017,F,06-Sep,252,"January 9, 1992",University of Kentucky
Terrence Rencher,1996,1996,G,06-Mar,185,"February 19, 1973",University of Texas at Austin
Terrence Ross,2013,2018,F-G,06-Jul,206,"February 5, 1991",University of Washington
Terrence Williams,2010,2013,F,06-Jun,220,"June 28, 1987",University of Louisville
Terry Catledge,1986,1993,F,06-Aug,220,"August 22, 1963",University of South Alabama
Terry Crosby,1980,1980,G,06-Apr,195,"January 4, 1957",University of Tennessee
Terry Cummings,1983,2000,F,06-Sep,220,"March 15, 1961",DePaul University
Terry Davis,1990,2001,F-C,06-Sep,225,"June 17, 1967",Virginia Union University
Terry Dehere,1994,1999,G,06-Feb,190,"September 12, 1971",Seton Hall University
Terry Dischinger,1963,1973,F-G,06-Jul,189,"November 21, 1940",Purdue University
Terry Dozier,1990,1990,F,06-Sep,210,"June 29, 1966",University of South Carolina
Terry Driscoll,1971,1975,F,06-Jul,215,"August 28, 1947",Boston College
Terry Duerod,1980,1983,G,06-Feb,180,"July 29, 1956",University of Detroit Mercy
Terry Furlow,1977,1980,G-F,06-Apr,190,"October 18, 1954",Michigan State University
Terry Kunze,1968,1968,G-F,06-Apr,210,"March 11, 1943",University of Minnesota
Terry Mills,1991,2001,F,06-Oct,230,"December 21, 1967",University of Michigan
Terry Porter,1986,2002,G,06-Mar,195,"April 8, 1963",University of Wisconsin-Stevens Point
Terry Rozier,2016,2018,G,06-Feb,190,"March 17, 1994",University of Louisville
Terry Teagle,1983,1993,F-G,06-May,195,"April 10, 1960",Baylor University
Terry Thomas,1976,1976,F,06-Aug,220,"August 20, 1953",University of Detroit Mercy
Terry Tyler,1979,1989,F-G,06-Jul,215,"October 30, 1956",University of Detroit Mercy
Tex Ritter,1949,1951,G-F,06-Feb,185,"February 26, 1924",Eastern Kentucky University
Thabo Sefolosha,2007,2018,G-F,06-Jul,220,"May 2, 1984",
Thaddeus Young,2008,2018,F,06-Aug,221,"June 21, 1988",Georgia Institute of Technology
Thales McReynolds,1966,1966,G,06-Mar,185,"June 8, 1943",Miles College
Thanasis Antetokounmpo,2016,2016,F,06-Jul,205,"July 17, 1992",
Tharon Mayes,1992,1992,G,06-Mar,175,"September 9, 1968",Florida State University
Theo Ratliff,1996,2011,C-F,06-Oct,225,"April 17, 1973",University of Wyoming
Theron Smith,2004,2005,F,06-Aug,225,"October 3, 1980",Ball State University
Thomas Bryant,2018,2018,C,06-Oct,248,"July 31, 1997",Indiana University
Thomas Gardner,2008,2009,G,06-May,225,"February 8, 1985",University of Missouri
Thomas Hamilton,1996,2000,C,07-Feb,330,"April 3, 1975",University of Pittsburgh
Thomas Jordan,1993,1993,F-C,06-Oct,220,"May 23, 1968",Oklahoma State University
Thomas Robinson,2013,2017,F,06-Oct,237,"March 17, 1991",University of Kansas
Thon Maker,2017,2018,F-C,07-Jan,216,"February 25, 1997",
Thurl Bailey,1984,1999,F-C,06-Nov,215,"April 7, 1961",North Carolina State University
Tiago Splitter,2011,2017,F-C,06-Nov,245,"January 1, 1985",
Tibor Pleiss,2016,2016,C,07-Mar,256,"November 2, 1989",
Ticky Burden,1976,1978,G,06-Feb,185,"February 28, 1953",University of Utah
Tierre Brown,2002,2005,G,06-Feb,189,"June 3, 1979",McNeese State University
Tim Bassett,1974,1980,F-C,06-Aug,225,"April 1, 1951",University of Georgia
Tim Breaux,1995,1998,F,06-Jul,215,"September 19, 1970",University of Wyoming
Tim Duncan,1998,2016,F-C,06-Nov,250,"April 25, 1976",Wake Forest University
Tim Frazier,2015,2018,G,06-Jan,170,"November 1, 1990",Pennsylvania State University
Tim Hardaway,1990,2003,G,6-0,175,"September 1, 1966",University of Texas at El Paso
Tim Hardaway,2014,2018,G,06-Jun,205,"March 16, 1992",University of Michigan
Tim James,2000,2002,F,06-Jul,212,"December 26, 1976",University of Miami
Tim Kempton,1987,1998,F-C,06-Oct,245,"January 25, 1964",University of Notre Dame
Tim Legler,1990,2000,G,06-Apr,200,"December 26, 1966",La Salle University
Tim McCormick,1985,1992,C,06-Nov,240,"March 10, 1962",University of Michigan
Tim Ohlbrecht,2013,2013,C,06-Nov,255,"August 30, 1988",
Tim Perry,1989,1996,F-C,06-Sep,200,"June 4, 1965",Temple University
Tim Quarterman,2017,2017,G,06-Jun,195,"October 27, 1994",Louisiana State University
Tim Thomas,1998,2010,F,06-Oct,230,"February 26, 1977",Villanova University
Tim Young,2000,2000,C,7-0,220,"February 6, 1976",Stanford University
Timofey Mozgov,2011,2018,C,07-Jan,275,"July 16, 1986",
Timothe Luwawu-Cabarrot,2017,2018,F,06-Jun,205,"May 9, 1995",
Tiny Archibald,1971,1984,G,06-Jan,150,"September 2, 1948",University of Texas at El Paso
Tito Horford,1989,1994,C,07-Jan,245,"January 19, 1966",University of Miami
Tito Maddox,2003,2003,G,06-Apr,190,"June 7, 1981","California State University, Fresno"
Tobias Harris,2012,2018,F,06-Sep,235,"July 15, 1992",University of Tennessee
Toby Bailey,1999,2000,G,06-Jun,213,"November 19, 1975","University of California, Los Angeles"
Toby Kimball,1967,1975,F-C,06-Jun,220,"September 7, 1942",University of Connecticut
Toby Knight,1978,1982,F,06-Sep,210,"May 3, 1955",University of Notre Dame
Tod Murphy,1988,1994,C-F,06-Sep,220,"December 24, 1963","University of California, Irvine"
Todd Day,1993,2001,G-F,06-Jun,188,"January 7, 1970",University of Arkansas
Todd Fuller,1997,2001,C,06-Nov,255,"July 25, 1974",North Carolina State University
Todd Lichti,1990,1994,G-F,06-Apr,205,"January 8, 1967",Stanford University
Todd MacCulloch,2000,2003,C,7-0,280,"January 27, 1976",University of Washington
Todd Mitchell,1989,1989,F,06-Jul,205,"July 26, 1966",Purdue University
Todd Mundt,1996,1996,C,7-0,250,"May 17, 1970",Delta State University
Togo Palazzi,1955,1960,F-G,06-Apr,205,"August 8, 1932",College of the Holy Cross
Tom Abernethy,1977,1981,F,06-Jul,220,"May 6, 1954",Indiana University
Tom Barker,1977,1979,C-F,06-Nov,225,"March 11, 1955",University of Hawaii
Tom Black,1971,1971,C,06-Oct,220,"July 9, 1941",South Dakota State University
Tom Boerwinkle,1969,1978,C,7-0,265,"August 23, 1945",University of Tennessee
Tom Boswell,1976,1984,F-C,06-Sep,220,"October 2, 1953",University of South Carolina
Tom Brennan,1955,1955,F,06-Mar,195,"August 6, 1930",Villanova University
Tom Burleson,1975,1981,C,07-Feb,225,"February 24, 1952",North Carolina State University
Tom Callahan,1947,1947,G,06-Jan,180,"June 2, 1921",Rockhurst University
Tom Chambers,1982,1998,F-C,06-Oct,220,"June 21, 1959",University of Utah
Tom Copa,1992,1992,C,06-Oct,275,"October 30, 1964",Marquette University
Tom Garrick,1989,1992,G,06-Feb,185,"July 7, 1966",University of Rhode Island
Tom Gola,1956,1966,G-F,06-Jun,205,"January 13, 1933",La Salle University
Tom Gugliotta,1993,2005,F,06-Oct,240,"December 19, 1969",North Carolina State University
Tom Hagan,1970,1971,G,06-Mar,185,"January 29, 1947",Vanderbilt University
Tom Hammonds,1990,2001,F,06-Sep,215,"March 27, 1967",Georgia Institute of Technology
Tom Hawkins,1960,1969,F,06-May,210,"December 22, 1936",University of Notre Dame
Tom Heinsohn,1957,1965,F-C,06-Jul,218,"August 26, 1934",College of the Holy Cross
Tom Henderson,1975,1983,G,06-Mar,190,"January 26, 1952",University of Hawaii
Tom Hoover,1964,1969,C,06-Sep,230,"January 23, 1941",Villanova University
Tom Hovasse,1995,1995,F,06-Aug,205,"January 31, 1967",Pennsylvania State University
Tom Ingelsby,1974,1976,G,06-Mar,180,"February 12, 1951",Villanova University
Tom Kelly,1949,1949,G,6-0,170,"March 5, 1924",New York University
Tom Kerwin,1968,1968,F,06-Jul,210,"July 7, 1944",Centenary College of Louisiana
Tom King,1947,1947,G,6-0,165,"March 9, 1924",University of Michigan
Tom Kondla,1969,1969,C,06-Aug,225,"November 30, 1946",University of Minnesota
Tom Kozelko,1974,1976,F,06-Aug,220,"July 1, 1951",University of Toledo
Tom Kropp,1976,1977,G,06-Mar,205,"February 12, 1953",University of Nebraska at Kearney
Tom LaGarde,1978,1985,C-F,06-Oct,220,"February 10, 1955",University of North Carolina
Tom Marshall,1955,1959,F-G,06-Apr,215,"January 6, 1931",Western Kentucky University
Tom McMillen,1976,1986,F-C,06-Nov,215,"May 26, 1952",University of Maryland
Tom Meschery,1962,1971,F,06-Jun,215,"October 26, 1938",Saint Mary's College of California
Tom Owens,1972,1983,C-F,06-Oct,215,"June 28, 1949",University of South Carolina
Tom Patterson,1973,1974,F,06-Jun,220,"October 15, 1948",Ouachita Baptist University
Tom Payne,1972,1972,C,07-Feb,240,"November 19, 1950",University of Kentucky
Tom Piotrowski,1984,1984,C,07-Jan,240,"October 17, 1960",La Salle University
Tom Riker,1973,1975,C-F,06-Oct,225,"February 28, 1950",University of South Carolina
Tom Sanders,1961,1973,F,06-Jun,210,"November 8, 1938",New York University
Tom Scheffler,1985,1985,C,06-Nov,240,"October 27, 1954",Purdue University
Tom Sewell,1985,1985,G,06-May,185,"March 11, 1962",Lamar University
Tom Sluby,1985,1985,G,06-Apr,200,"February 18, 1962",University of Notre Dame
Tom Stith,1963,1963,F,06-May,210,"January 21, 1939",St. Bonaventure University
Tom Thacker,1964,1971,G-F,06-Feb,170,"November 2, 1939",University of Cincinnati
Tom Tolbert,1989,1995,F-C,06-Jul,235,"October 16, 1965",University of Arizona
Tom Van Arsdale,1966,1977,F-G,06-May,202,"February 22, 1943",Indiana University
Tom Workman,1968,1971,F-C,06-Jul,218,"November 14, 1944",Seattle University
Tomas Satoransky,2017,2018,G,06-Jul,210,"October 30, 1991",
Tommie Bowens,1968,1970,F-C,06-Aug,220,"July 7, 1940",Grambling State University
Tommie Green,1979,1979,G,06-Feb,185,"April 8, 1956",Southern University and A&M College
Tommy Byrnes,1947,1951,F-G,06-Mar,175,"February 19, 1923",Seton Hall University
Tommy Kearns,1959,1959,G,05-Nov,185,"October 6, 1936",University of North Carolina
Tommy Kron,1967,1970,G,06-May,200,"February 28, 1943",University of Kentucky
Tommy O'Keefe,1951,1951,G,06-Feb,185,"June 3, 1928",Georgetown University
Tommy Woods,1968,1968,F,06-Jul,210,"June 10, 1943",East Tennessee State University
Toney Douglas,2010,2017,G,06-Feb,195,"March 16, 1986",Florida State University
Toni Kukoc,1994,2006,F,06-Oct,192,"September 18, 1968",
Tony Allen,2005,2018,G-F,06-Apr,213,"January 11, 1982",Oklahoma State University
Tony Battie,1998,2012,C-F,06-Nov,230,"February 11, 1976",Texas Tech University
Tony Bennett,1993,1995,G,6-0,175,"June 1, 1969",University of Wisconsin-Green Bay
Tony Bobbitt,2005,2005,G,06-Apr,190,"October 22, 1979",University of Cincinnati
Tony Bradley,2018,2018,F-C,06-Nov,240,"January 8, 1998",University of North Carolina
Tony Brown,1985,1992,F-G,06-Jun,185,"July 29, 1960",University of Arkansas
Tony Campbell,1985,1995,F-G,06-Jul,215,"May 7, 1962",Ohio State University
Tony Dawson,1991,1995,F,06-Jul,215,"August 25, 1967",Florida State University
Tony Delk,1997,2006,G,06-Jan,189,"January 28, 1974",University of Kentucky
Tony Dumas,1995,1998,G,06-Jun,190,"August 25, 1972",University of Missouri-Kansas City
Tony Farmer,1998,2000,F,06-Sep,244,"January 3, 1970",University of Nebraska
Tony Fuller,1981,1981,G,06-Apr,180,"September 4, 1958",Pepperdine University
Tony Harris,1991,1995,G,06-Mar,190,"May 13, 1967",University of New Orleans
Tony Jackson,1968,1969,F-G,06-Apr,200,"November 7, 1942",St. John's University
Tony Jackson,1981,1981,G,6-0,170,"January 17, 1958",Florida State University
Tony Jaros,1947,1951,F-G,06-Mar,185,"February 22, 1920",University of Minnesota
Tony Kappen,1947,1947,G,05-Oct,165,"April 13, 1919",
Tony Koski,1969,1969,F,06-Aug,215,"June 26, 1946",Providence College
Tony Lavelli,1950,1951,F,06-Mar,185,"July 11, 1926",Yale University
Tony Massenburg,1991,2005,F,06-Sep,220,"July 31, 1967",University of Maryland
Tony Mitchell,2014,2014,F,06-Jun,216,"August 7, 1989",University of Alabama
Tony Mitchell,2014,2014,F,06-Aug,235,"April 7, 1992",University of North Texas
Tony Parker,2002,2018,G,06-Feb,185,"May 17, 1982",
Tony Price,1981,1981,G,06-Jun,190,"January 5, 1957",University of Pennsylvania
Tony Robertson,1978,1979,G,06-Apr,195,"January 1, 1956",West Virginia University
Tony Smith,1991,2001,G,06-Mar,185,"June 14, 1968",Marquette University
Tony Snell,2014,2018,G-F,06-Jul,200,"November 10, 1991",University of New Mexico
Tony White,1988,1988,G,06-Feb,170,"February 15, 1965",University of Tennessee
Tony Windis,1960,1960,G,06-Jan,160,"January 27, 1933",University of Wyoming
Tony Wroten,2013,2016,G,06-Jun,205,"April 13, 1993",University of Washington
Tony Zeno,1980,1980,F,06-Aug,210,"October 1, 1957",Arizona State University
Torgeir Bryn,1990,1990,C,06-Sep,250,"August 8, 1964",Texas State University
Tornike Shengelia,2013,2014,F,06-Sep,217,"October 5, 1991",
Torraye Braggs,2004,2005,F,06-Aug,245,"May 15, 1976",Xavier University
Torrey Craig,2018,2018,G-F,06-Jun,215,"December 19, 1990",University of South Carolina Upstate
Toure' Murry,2014,2015,G-F,06-May,195,"November 8, 1989",Wichita State University
Tracy Jackson,1982,1984,G-F,06-Jun,205,"April 21, 1959",University of Notre Dame
Tracy McGrady,1998,2012,F-G,06-Aug,210,"May 24, 1979",
Tracy Moore,1992,1997,G-F,06-Apr,200,"December 28, 1965",University of Tulsa
